イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
3,表,0,1,1,-,-,-,藤川泰斗,福井工業大学,左,藤田海輝,北陸大学,右,ストレート,,2,真ん中,インプレー,1,1,1,1,1,,-,単打,ライナー,右翼手,0,0,0,0,
3,表,0,0,1,○,-,-,藤川泰斗,福井工業大学,左,加藤遥人,北陸大学,右,ストレート,,5,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,1,1,○,-,-,藤川泰斗,福井工業大学,左,加藤遥人,北陸大学,右,ストレート,,5,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,2,1,○,-,-,藤川泰斗,福井工業大学,左,加藤遥人,北陸大学,右,ストレート,,9,外角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
3,表,0,0,2,○,-,-,藤川泰斗,福井工業大学,左,久保田大成,北陸大学,右,ストレート,,4,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,1,2,○,-,-,藤川泰斗,福井工業大学,左,久保田大成,北陸大学,右,ストレート,,4,真ん中,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,
3,裏,0,0,0,-,-,-,吉野京士郎,北陸大学,右,細川叶人,福井工業大学,右,スライダー,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,1,0,0,-,-,-,吉野京士郎,北陸大学,右,細川叶人,福井工業大学,右,スライダー,,11,真ん中,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,2,0,0,-,-,-,吉野京士郎,北陸大学,右,細川叶人,福井工業大学,右,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,2,1,0,-,-,-,吉野京士郎,北陸大学,右,細川叶人,福井工業大学,右,ストレート,,2,真ん中,インプレー,1,1,1,1,1,,-,単打,ライナー,左翼手,0,0,0,0,
3,裏,0,0,0,○,-,-,吉野京士郎,北陸大学,右,野口恭平,福井工業大学,左,スライダー,,4,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,0,1,0,○,-,-,吉野京士郎,北陸大学,右,野口恭平,福井工業大学,左,スライダー,,1,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
3,裏,0,2,0,○,-,-,吉野京士郎,北陸大学,右,野口恭平,福井工業大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
3,裏,1,2,0,○,-,-,吉野京士郎,北陸大学,右,野口恭平,福井工業大学,左,フォーク,,7,内角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
3,裏,0,0,1,○,-,-,吉野京士郎,北陸大学,右,山田 久敬,福井工業大学,左,ストレート,,2,真ん中,インプレー,1,1,1,1,1,,-,本塁打,フライ,,0,2,2,0,
