イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
4,裏,0,1,2,○,-,-,藤川泰斗,福井工業大学,左,南 早羽己,金沢学院大学,左,ストレート,,8,内角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
5,表,0,0,0,-,-,-,水谷光希,金沢学院大学,右,大江陸斗,福井工業大学,右,ストレート,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
5,表,0,1,0,-,-,-,水谷光希,金沢学院大学,右,大江陸斗,福井工業大学,右,ツーシーム,,8,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,三塁手,1,0,0,0,
5,表,0,0,1,-,-,-,水谷光希,金沢学院大学,右,山田 久敬,福井工業大学,左,ツーシーム,,4,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
5,表,0,1,1,-,-,-,水谷光希,金沢学院大学,右,山田 久敬,福井工業大学,左,ツーシーム,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,表,1,1,1,-,-,-,水谷光希,金沢学院大学,右,山田 久敬,福井工業大学,左,ツーシーム,,5,,インプレー,1,1,1,0,1,,-,アウト,フライ,中堅手,1,0,0,0,
5,表,0,0,2,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,ツーシーム,,9,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
5,表,0,1,2,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,カットボール,,4,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
5,表,0,2,2,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,表,1,2,2,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,ツーシーム,,13,内角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
5,裏,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,岸田脩汰,金沢学院大学,右,スライダー,,6,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,0,1,0,-,-,-,藤川泰斗,福井工業大学,左,岸田脩汰,金沢学院大学,右,カーブ,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,0,2,0,-,-,-,藤川泰斗,福井工業大学,左,岸田脩汰,金沢学院大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,1,2,0,-,-,-,藤川泰斗,福井工業大学,左,岸田脩汰,金沢学院大学,右,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,2,2,0,-,-,-,藤川泰斗,福井工業大学,左,岸田脩汰,金沢学院大学,右,スライダー,,13,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
5,裏,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,ストレート,,8,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,0,1,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
5,裏,0,2,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,スライダー,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,1,2,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,ストレート,,14,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,二塁手,1,0,0,0,
5,裏,0,0,2,-,-,-,藤川泰斗,福井工業大学,左,今岡 歩夢,金沢学院大学,左,ストレート,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
5,裏,1,0,2,-,-,-,藤川泰斗,福井工業大学,左,今岡 歩夢,金沢学院大学,左,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
